2020-11-11 21:19:10.011294,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 21:49:10.940955,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 22:19:11.783701,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 22:49:12.754286,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 23:19:13.388838,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 23:49:14.087068,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 00:19:14.977840,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 00:49:15.817840,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 01:19:16.641948,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 01:49:17.483852,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 02:19:18.323837,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 02:49:19.141633,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 03:19:19.948841,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 03:49:20.768588,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 04:19:21.593863,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 04:49:22.333846,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 05:19:23.086917,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 05:49:23.922305,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
